                       11111   |nw = 248, c+1 = 496
                       11111   |nw = 248, c+1 = 508
                       11111   |nw = 248, c+1 = 511
                       11111   |nw = 248, c+1 = 512
                       11111  1|nw = 249, c+1 = 439
                       11111  1|nw = 249, c+1 = 507
                       11111  1|nw = 249, c+1 = 710
                       11111  1|nw = 249, c+1 = 713
                       11111 1 |nw = 250, c+1 = 495
                       11111 11|nw = 251, c+1 = 420
                       111111  |nw = 252, c+1 = 721
                       111111 1|nw = 253, c+1 = 491
                       1111111 |nw = 254, c+1 = 492
                       1111111 |nw = 254, c+1 = 674
                       1111111 |nw = 254, c+1 = 677
                       11111111|nw = 255, c+1 = 425
                       11111111|nw = 255, c+1 = 438
                      1       1|nw = 257, c+1 = 772
                      1      1 |nw = 258, c+1 = 736
                      1     1  |nw = 260, c+1 = 780
                      1     1  |nw = 260, c+1 = 899
                      1     1 1|nw = 261, c+1 = 888
                      1     11 |nw = 262, c+1 = 782
                      1     11 |nw = 262, c+1 = 926
                      1     11 |nw = 262, c+1 = 933
                      1    1   |nw = 264, c+1 = 769
